代码,名称,实际控制人,类型,总市值(亿),现价,每股净资产(元),市净率,折价率(%)
601186,中国铁建,国务院国有资产监督管理委员会,国务院国资委(直接),828.4,6.1,20.33,0.3,70.0
600048,保利发展,中国保利集团有限公司,国务院国资委(经央企集团),634.4,5.3,16.06,0.33,67.0
601800,中国交建,国务院国有资产监督管理委员会,国务院国资委(直接),971.2,5.99,18.15,0.33,67.0
601390,中国中铁,国务院国有资产监督管理委员会,国务院国资委(直接),1076.9,4.41,13.36,0.33,67.0
600782,新钢股份,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),89.8,2.83,7.86,0.36,64.0
601668,中国建筑,国务院国有资产监督管理委员会,国务院国资委(直接),1805.7,4.37,12.14,0.36,64.0
000877,天山股份,中国建材集团有限公司,国务院国资委(经央企集团),273.0,3.85,10.13,0.38,62.0
000898,鞍钢股份,鞍钢集团有限公司,国务院国资委(经央企集团),196.8,2.1,4.47,0.47,53.0
300070,碧水源,国务院国有资产监督管理委员会,国务院国资委(直接),128.3,3.52,7.49,0.47,53.0
000069,华侨城Ａ,华侨城集团有限公司,国务院国资委(经央企集团),151.1,1.87,3.98,0.47,53.0
601618,中国中冶,国务院国有资产监督管理委员会,国务院国资委(直接),540.1,2.61,4.92,0.53,47.0
600390,五矿资本,中国五矿集团有限公司,国务院国资委(经央企集团),225.4,5.0,9.43,0.53,47.0
601669,中国电建,国务院国有资产监督管理委员会,国务院国资委(直接),799.3,4.65,8.45,0.55,45.0
000778,新兴铸管,国务院国有资产监督管理委员会,国务院国资委(直接),152.2,3.82,6.59,0.58,42.0
000050,深天马Ａ,中国航空工业集团有限公司,国务院国资委(经央企集团),161.2,6.6,10.82,0.61,39.0
600528,中铁工业,国务院国有资产监督管理委员会,国务院国资委(直接),155.7,7.0,11.48,0.61,39.0
600019,宝钢股份,国务院国有资产监督管理委员会,国务院国资委(直接),1261.2,5.8,9.51,0.61,39.0
000825,太钢不锈,中国宝武钢铁集团有限公司,国务院国资委(经央企集团),202.8,3.55,5.73,0.62,38.0
