代码,名称,实际控制人,类型,总市值(亿)
601857,中国石油,国务院国有资产监督管理委员会,国务院国资委(直接),20516.7
601088,中国神华,国务院国有资产监督管理委员会,国务院国资委(直接),9996.7
600900,长江电力,国务院国有资产监督管理委员会,国务院国资委(直接),6785.0
601728,中国电信,国务院国有资产监督管理委员会,国务院国资委(直接),5783.3
601919,中远海控,国务院国有资产监督管理委员会,国务院国资委(直接),2442.9
003816,中国广核,国务院国有资产监督管理委员会,国务院国资委(直接),2166.4
601898,中煤能源,国务院国有资产监督管理委员会,国务院国资委(直接),1947.7
601985,中国核电,国务院国有资产监督管理委员会,国务院国资委(直接),1832.6
601668,中国建筑,国务院国有资产监督管理委员会,国务院国资委(直接),1805.7
600406,国电南瑞,国务院国有资产监督管理委员会,国务院国资委(直接),1804.7
601766,中国中车,国务院国有资产监督管理委员会,国务院国资委(直接),1787.9
600025,华能水电,国务院国有资产监督管理委员会,国务院国资委(直接),1775.5
601600,中国铝业,国务院国有资产监督管理委员会,国务院国资委(直接),1667.5
600050,中国联通,国务院国有资产监督管理委员会,国务院国资委(直接),1325.6
001289,龙源电力,国务院国有资产监督管理委员会,国务院国资委(直接),1264.0
600019,宝钢股份,国务院国有资产监督管理委员会,国务院国资委(直接),1261.2
600489,中金黄金,国务院国有资产监督管理委员会,国务院国资委(直接),1228.3
601111,中国国航,国务院国有资产监督管理委员会,国务院国资委(直接),1198.8
601888,中国中免,国务院国有资产监督管理委员会,国务院国资委(直接),1134.3
600886,国投电力,国务院国有资产监督管理委员会,国务院国资委(直接),1128.6
600026,中远海能,国务院国有资产监督管理委员会,国务院国资委(直接),1103.0
601868,中国能建,国务院国有资产监督管理委员会,国务院国资委(直接),1097.2
601390,中国中铁,国务院国有资产监督管理委员会,国务院国资委(直接),1076.9
600011,华能国际,国务院国有资产监督管理委员会,国务院国资委(直接),1073.7
601991,大唐发电,国务院国有资产监督管理委员会,国务院国资委(直接),1034.5
601800,中国交建,国务院国有资产监督管理委员会,国务院国资委(直接),971.2
000807,云铝股份,国务院国有资产监督管理委员会,国务院国资委(直接),948.1
600795,国电电力,国务院国有资产监督管理委员会,国务院国资委(直接),934.6
600029,南方航空,国务院国有资产监督管理委员会,国务院国资委(直接),909.7
600875,东方电气,国务院国有资产监督管理委员会,国务院国资委(直接),864.9
601186,中国铁建,国务院国有资产监督管理委员会,国务院国资委(直接),828.4
601669,中国电建,国务院国有资产监督管理委员会,国务院国资委(直接),799.3
600482,中国动力,国务院国有资产监督管理委员会,国务院国资委(直接),781.2
600115,中国东航,国务院国有资产监督管理委员会,国务院国资委(直接),773.1
600236,桂冠电力,国务院国有资产监督管理委员会,国务院国资委(直接),760.6
000625,长安汽车,国务院国有资产监督管理委员会,国务院国资委(直接),711.7
301638,南网数字,国务院国有资产监督管理委员会,国务院国资委(直接),696.0
601179,中国西电,国务院国有资产监督管理委员会,国务院国资委(直接),638.7
688187,时代电气,国务院国有资产监督管理委员会,国务院国资委(直接),621.6
600378,昊华科技,国务院国有资产监督管理委员会,国务院国资委(直接),612.4
600027,华电国际,国务院国有资产监督管理委员会,国务院国资委(直接),558.5
600498,烽火通信,国务院国有资产监督管理委员会,国务院国资委(直接),552.0
601618,中国中冶,国务院国有资产监督管理委员会,国务院国资委(直接),540.1
